Cultivar,Variedad,Patrón,Parcela,Árbol,Vivo-M6-20_10_19,Sospecha-M6-20_10_19,Severidad-M6-20_11_19,M6-Inspección_Visual-20_11_19,Observaciones_M4
Naranja,Sweety_O,CPB4475,43,1,Verdadero,1,1,1,NA
Naranja,Sweety_O,CPB4475,43,2,Verdadero,0,NA,0,NA
Naranja,Sweety_O,CPB4475,43,3,Verdadero,1,1,1,NA
Naranja,Sweety_O,CPB4475,43,4,Verdadero,0,NA,0,NA
Naranja,Sweety_O,CPB4475,43,5,Verdadero,0,NA,0,NA
Naranja,Sweety_O,CPB4475,43,6,Verdadero,1,2,1,NA
Naranja,Hamlin,CPB4475,44,1,Verdadero,1,2,1,NA
Naranja,Hamlin,CPB4475,44,2,Verdadero,0,NA,0,NA
Naranja,Hamlin,CPB4475,44,3,Verdadero,1,1,1,NA
Naranja,Hamlin,CPB4475,44,4,Verdadero,1,0,0,NA
Naranja,Hamlin,CPB4475,44,5,Verdadero,0,NA,0,NA
Naranja,Hamlin,CPB4475,44,6,Verdadero,1,1,1,NA
Naranja,ParsonB,CPB4475,45,1,Verdadero,0,NA,0,NA
Naranja,ParsonB,CPB4475,45,2,Verdadero,0,NA,0,NA
Naranja,ParsonB,CPB4475,45,3,Verdadero,0,NA,0,NA
Naranja,ParsonB,CPB4475,45,4,Verdadero,0,NA,0,NA
Naranja,ParsonB,CPB4475,45,5,Verdadero,0,NA,0,NA
Naranja,ParsonB,CPB4475,45,6,Verdadero,0,NA,0,NA
Naranja,PeraDelRio,CPB4475,46,1,FALSO,NA,NA,NA,NA
Naranja,PeraDelRio,CPB4475,46,2,FALSO,NA,NA,NA,NA
Naranja,PeraDelRio,CPB4475,46,3,FALSO,NA,NA,NA,NA
Naranja,PeraDelRio,CPB4475,46,4,FALSO,NA,NA,NA,NA
Naranja,PeraDelRio,CPB4475,46,5,FALSO,NA,NA,NA,NA
Naranja,PeraDelRio,CPB4475,46,6,FALSO,NA,NA,NA,NA
Naranja,GarciaVal,CPB4475,47,1,Verdadero,0,NA,0,NA
Naranja,GarciaVal,CPB4475,47,2,Verdadero,0,NA,0,NA
Naranja,GarciaVal,CPB4475,47,3,Verdadero,0,NA,0,NA
Naranja,GarciaVal,CPB4475,47,4,Verdadero,0,NA,0,NA
